F3D0	F3D9	mock	domain;phylum;class;order;family;genus;species
2	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Unclassified_g;Unclassified_s
0	0	621	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Unclassified_g;Unclassified_s
0	3	0	Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Unclassified_g;Unclassified_s
2	0	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7_f;Unclassified_g;Unclassified_s
2	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Unclassified_g;Unclassified_s
2	0	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Unclassified_g;Unclassified_s
0	2	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Unclassified_g;Unclassified_s
0	2	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Unclassified_g;Unclassified_s
12	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Unclassified_g;Unclassified_s
0	0	362	Bacteria;Actinobacteria;Actinobacteria_c;Actinomycetales;Actinomycetaceae;Unclassified_g;Unclassified_s
2	0	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Unclassified_g;Unclassified_s
2	0	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Unclassified_g;Unclassified_s
0	10	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Unclassified_g;Unclassified_s
0	2	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Unclassified_g;Unclassified_s
0	5	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7_f;HM124247_g;Unclassified_s
0	3	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Unclassified_s
0	0	3	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Unclassified_s
0	6	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Unclassified_s
12	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;HM124151_g;Unclassified_s
4	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus_g2;Unclassified_s
0	5	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7_f;DQ815871_g;Unclassified_s
4	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;HM124151_g;Unclassified_s
2	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159571_g;Unclassified_s
2	2	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7_f;DQ815871_g;Unclassified_s
0	5	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7_f;EF406712_g;Unclassified_s
2	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;Unclassified_s
0	0	2	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Unclassified_s
0	7	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7_f;DQ815871_g;Unclassified_s
4	0	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7_f;EF602759_g;Unclassified_s
2	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;GQ422712_g;Unclassified_s
2	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Unclassified_s
0	2	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;GU174097_g;Unclassified_s
4	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;GU324393_g;Unclassified_s
2	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;FJ951890_g;Unclassified_s
4	0	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7_f;DQ815871_g;Unclassified_s
24	4	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7_f;EF406806_g;Unclassified_s
2	0	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7_f;HM124247_g;Unclassified_s
0	0	2	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Unclassified_s
0	6	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor;Unclassified_s
0	7	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159538_g;Unclassified_s
0	0	2	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Unclassified_s
0	0	2	Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Unclassified_s
2	0	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7_f;AB606322_g;Unclassified_s
40	7	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7_f;DQ815871_g;Unclassified_s
5	0	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7_f;EF406806_g;Unclassified_s
